Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.01,0.61,0.3254549100055583
75% Corpus,8,0.01,0.9099999999999999,0.3361888209794891
75% Corpus,8,0.01,symmetric,0.3163141993586793
75% Corpus,8,0.31,0.01,0.3079630573462727
75% Corpus,8,0.31,0.31,0.3196260535409145
75% Corpus,8,0.31,0.61,0.3258499428221301
75% Corpus,8,0.31,0.9099999999999999,0.32493130729518727
75% Corpus,8,0.31,symmetric,0.3046668075784241
75% Corpus,8,0.61,0.01,0.3029111799386731
75% Corpus,8,0.61,0.31,0.3064091287356836
75% Corpus,8,0.61,0.61,0.3177095695759541
75% Corpus,8,0.61,0.9099999999999999,0.3288181217516849
75% Corpus,8,0.61,symmetric,0.30785064895933956
75% Corpus,8,0.9099999999999999,0.01,0.30950050448264654
75% Corpus,8,0.9099999999999999,0.31,0.3179997147041109
75% Corpus,8,0.9099999999999999,0.61,0.3022438821878645
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.32266981733583966
75% Corpus,8,0.9099999999999999,symmetric,0.3164312129321494
75% Corpus,8,symmetric,0.01,0.3007903159786084
75% Corpus,8,symmetric,0.31,0.3252389268985454
75% Corpus,8,symmetric,0.61,0.32535706000156095
75% Corpus,8,symmetric,0.9099999999999999,0.3199277548985576
75% Corpus,8,symmetric,symmetric,0.29553106189923667
75% Corpus,8,asymmetric,0.01,0.30711188336396333
75% Corpus,8,asymmetric,0.31,0.31059910159726195
75% Corpus,8,asymmetric,0.61,0.30596742289207657
75% Corpus,8,asymmetric,0.9099999999999999,0.3221696937851085
75% Corpus,8,asymmetric,symmetric,0.3289337054463969
75% Corpus,9,0.01,0.01,0.2963924222001505
75% Corpus,9,0.01,0.31,0.3254478156795966
75% Corpus,9,0.01,0.61,0.3623473226520752
75% Corpus,9,0.01,0.9099999999999999,0.3863464834837844
75% Corpus,9,0.01,symmetric,0.3090919435069991
75% Corpus,9,0.31,0.01,0.290602983867459
75% Corpus,9,0.31,0.31,0.33493004689522515
75% Corpus,9,0.31,0.61,0.37845416485003336
75% Corpus,9,0.31,0.9099999999999999,0.3898095448235044
75% Corpus,9,0.31,symmetric,0.30712395336598064
75% Corpus,9,0.61,0.01,0.30198962166743004
75% Corpus,9,0.61,0.31,0.31332832669707716
75% Corpus,9,0.61,0.61,0.3160379749980314
75% Corpus,9,0.61,0.9099999999999999,0.3391407818577204
75% Corpus,9,0.61,symmetric,0.3278020493147434
75% Corpus,9,0.9099999999999999,0.01,0.3156261110646679
75% Corpus,9,0.9099999999999999,0.31,0.30856943931116265
75% Corpus,9,0.9099999999999999,0.61,0.3090018434228014
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.3108735888729275
75% Corpus,9,0.9099999999999999,symmetric,0.3133767888472473
75% Corpus,9,symmetric,0.01,0.28758954153221905
75% Corpus,9,symmetric,0.31,0.3249840858507602
75% Corpus,9,symmetric,0.61,0.368230999035689
75% Corpus,9,symmetric,0.9099999999999999,0.3967496291741183
75% Corpus,9,symmetric,symmetric,0.29341088404297966
75% Corpus,9,asymmetric,0.01,0.30167129762055933
75% Corpus,9,asymmetric,0.31,0.32317915637655875
75% Corpus,9,asymmetric,0.61,0.35770595334366323
75% Corpus,9,asymmetric,0.9099999999999999,0.39619829976851234
75% Corpus,9,asymmetric,symmetric,0.3288108778925624
75% Corpus,10,0.01,0.01,0.3381763941920316
75% Corpus,10,0.01,0.31,0.3112647777124345
75% Corpus,10,0.01,0.61,0.3912027508609466
75% Corpus,10,0.01,0.9099999999999999,0.4289950867524325
75% Corpus,10,0.01,symmetric,0.3642783914974891
75% Corpus,10,0.31,0.01,0.327090040449162
75% Corpus,10,0.31,0.31,0.28373484775865115
75% Corpus,10,0.31,0.61,0.3463794964820564
75% Corpus,10,0.31,0.9099999999999999,0.38967367935359154
75% Corpus,10,0.31,symmetric,0.36468641953243497
75% Corpus,10,0.61,0.01,0.31199597085967185
75% Corpus,10,0.61,0.31,0.3470934271845746
75% Corpus,10,0.61,0.61,0.39057865795277263
75% Corpus,10,0.61,0.9099999999999999,0.3950690733594816
75% Corpus,10,0.61,symmetric,0.3112711118461255
75% Corpus,10,0.9099999999999999,0.01,0.31891600044489293
75% Corpus,10,0.9099999999999999,0.31,0.41828940078195104
75% Corpus,10,0.9099999999999999,0.61,0.3824572427092643
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.38780098497010806
75% Corpus,10,0.9099999999999999,symmetric,0.3215868694513802
75% Corpus,10,symmetric,0.01,0.3247800367285011
75% Corpus,10,symmetric,0.31,0.2972929720514637
75% Corpus,10,symmetric,0.61,0.33613623590378594
75% Corpus,10,symmetric,0.9099999999999999,0.3919147433281517
75% Corpus,10,symmetric,symmetric,0.3317733834648629
75% Corpus,10,asymmetric,0.01,0.30506856429299256
75% Corpus,10,asymmetric,0.31,0.30119424033442155
75% Corpus,10,asymmetric,0.61,0.3221828349282315
75% Corpus,10,asymmetric,0.9099999999999999,0.4192773273497794
75% Corpus,10,asymmetric,symmetric,0.3108949387670922
100% Corpus,2,0.01,0.01,0.26058340797632173
100% Corpus,2,0.01,0.31,0.2585700908746206
100% Corpus,2,0.01,0.61,0.2658766159998514
100% Corpus,2,0.01,0.9099999999999999,0.2658766159998514
100% Corpus,2,0.01,symmetric,0.26300808685305677
100% Corpus,2,0.31,0.01,0.24967242098893344
100% Corpus,2,0.31,0.31,0.26502720546897135
100% Corpus,2,0.31,0.61,0.2687850296018175
100% Corpus,2,0.31,0.9099999999999999,0.2687850296018175
100% Corpus,2,0.31,symmetric,0.2650272054689714
100% Corpus,2,0.61,0.01,0.2584183107886254
100% Corpus,2,0.61,0.31,0.2650272054689713
100% Corpus,2,0.61,0.61,0.26502720546897135
100% Corpus,2,0.61,0.9099999999999999,0.271924580841259
100% Corpus,2,0.61,symmetric,0.26502720546897135
100% Corpus,2,0.9099999999999999,0.01,0.2584183107886254
100% Corpus,2,0.9099999999999999,0.31,0.25841831078862537
100% Corpus,2,0.9099999999999999,0.61,0.27051903501887054
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2736511319906379
100% Corpus,2,0.9099999999999999,symmetric,0.2705190350188705
100% Corpus,2,symmetric,0.01,0.2584183107886254
100% Corpus,2,symmetric,0.31,0.2650272054689713
100% Corpus,2,symmetric,0.61,0.2671768335787812
100% Corpus,2,symmetric,0.9099999999999999,0.2719245808412589
100% Corpus,2,symmetric,symmetric,0.2650272054689713
100% Corpus,2,asymmetric,0.01,0.26289698681524115
100% Corpus,2,asymmetric,0.31,0.26058340797632173
100% Corpus,2,asymmetric,0.61,0.26073444089534936
100% Corpus,2,asymmetric,0.9099999999999999,0.26073444089534936
100% Corpus,2,asymmetric,symmetric,0.2533247670669575
100% Corpus,3,0.01,0.01,0.2880288303279756
100% Corpus,3,0.01,0.31,0.28836986523632924
100% Corpus,3,0.01,0.61,0.29638370966024724
100% Corpus,3,0.01,0.9099999999999999,0.28124349758536354
100% Corpus,3,0.01,symmetric,0.2883698652363292
100% Corpus,3,0.31,0.01,0.2880288303279756
100% Corpus,3,0.31,0.31,0.28666089567568126
100% Corpus,3,0.31,0.61,0.3012028362970049
100% Corpus,3,0.31,0.9099999999999999,0.27756257709566523
100% Corpus,3,0.31,symmetric,0.2972112187706753
100% Corpus,3,0.61,0.01,0.2728005597220387
100% Corpus,3,0.61,0.31,0.2969026132353533
100% Corpus,3,0.61,0.61,0.29953542097290947
100% Corpus,3,0.61,0.9099999999999999,0.27616746261664266
100% Corpus,3,0.61,symmetric,0.2969026132353532
100% Corpus,3,0.9099999999999999,0.01,0.27396682239632614
100% Corpus,3,0.9099999999999999,0.31,0.2967330346746401
100% Corpus,3,0.9099999999999999,0.61,0.3105599663605005
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3016894087601331
100% Corpus,3,0.9099999999999999,symmetric,0.2967330346746401
100% Corpus,3,symmetric,0.01,0.2880288303279756
100% Corpus,3,symmetric,0.31,0.2969026132353532
100% Corpus,3,symmetric,0.61,0.3012028362970049
100% Corpus,3,symmetric,0.9099999999999999,0.27756257709566523
100% Corpus,3,symmetric,symmetric,0.2969026132353532
100% Corpus,3,asymmetric,0.01,0.2815685951460775
100% Corpus,3,asymmetric,0.31,0.27962743963499787
100% Corpus,3,asymmetric,0.61,0.27174035171555083
100% Corpus,3,asymmetric,0.9099999999999999,0.2856258365398202
100% Corpus,3,asymmetric,symmetric,0.27962743963499787
100% Corpus,4,0.01,0.01,0.30837509153660314
100% Corpus,4,0.01,0.31,0.3025404795670296
100% Corpus,4,0.01,0.61,0.30565305485787997
100% Corpus,4,0.01,0.9099999999999999,0.2880134286361501
100% Corpus,4,0.01,symmetric,0.3080514709281096
100% Corpus,4,0.31,0.01,0.2976389411562752
100% Corpus,4,0.31,0.31,0.29877685121469066
100% Corpus,4,0.31,0.61,0.2970353832737024
100% Corpus,4,0.31,0.9099999999999999,0.3055175673858704
100% Corpus,4,0.31,symmetric,0.2978783727752785
100% Corpus,4,0.61,0.01,0.2968740631245753
100% Corpus,4,0.61,0.31,0.2994555351139714
100% Corpus,4,0.61,0.61,0.2847949046191943
100% Corpus,4,0.61,0.9099999999999999,0.29427930493407806
100% Corpus,4,0.61,symmetric,0.3015006111249969
100% Corpus,4,0.9099999999999999,0.01,0.3107176422036632
100% Corpus,4,0.9099999999999999,0.31,0.2858727891031697
100% Corpus,4,0.9099999999999999,0.61,0.2890698250105374
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.30062807938739533
100% Corpus,4,0.9099999999999999,symmetric,0.285443515554029
100% Corpus,4,symmetric,0.01,0.3005130505564253
100% Corpus,4,symmetric,0.31,0.303586896107791
100% Corpus,4,symmetric,0.61,0.30152834108921067
100% Corpus,4,symmetric,0.9099999999999999,0.3011032056004699
100% Corpus,4,symmetric,symmetric,0.30118726509799365
100% Corpus,4,asymmetric,0.01,0.29109790349259235
100% Corpus,4,asymmetric,0.31,0.3072117518062194
100% Corpus,4,asymmetric,0.61,0.32059491431824855
100% Corpus,4,asymmetric,0.9099999999999999,0.3294267683177263
100% Corpus,4,asymmetric,symmetric,0.30705284007290357
100% Corpus,5,0.01,0.01,0.3094651041276978
100% Corpus,5,0.01,0.31,0.2865393547060348
100% Corpus,5,0.01,0.61,0.2920530349630205
100% Corpus,5,0.01,0.9099999999999999,0.2980223498387613
100% Corpus,5,0.01,symmetric,0.2949227383952396
100% Corpus,5,0.31,0.01,0.30196728477962953
100% Corpus,5,0.31,0.31,0.2948578938746934
100% Corpus,5,0.31,0.61,0.3023950686587703
100% Corpus,5,0.31,0.9099999999999999,0.29279527656130144
100% Corpus,5,0.31,symmetric,0.29416787443611864
100% Corpus,5,0.61,0.01,0.30879466910147435
100% Corpus,5,0.61,0.31,0.3038781164928752
100% Corpus,5,0.61,0.61,0.3088611191273554
100% Corpus,5,0.61,0.9099999999999999,0.29960292677853523
100% Corpus,5,0.61,symmetric,0.3025749681939208
100% Corpus,5,0.9099999999999999,0.01,0.30025682003806753
100% Corpus,5,0.9099999999999999,0.31,0.29314843924801215
100% Corpus,5,0.9099999999999999,0.61,0.3133490839843715
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.298393308357829
100% Corpus,5,0.9099999999999999,symmetric,0.29665600647972007
100% Corpus,5,symmetric,0.01,0.3043195012029587
100% Corpus,5,symmetric,0.31,0.2992807293496168
100% Corpus,5,symmetric,0.61,0.2924715192735068
100% Corpus,5,symmetric,0.9099999999999999,0.2984666170138971
100% Corpus,5,symmetric,symmetric,0.2945498610261655
100% Corpus,5,asymmetric,0.01,0.30866627252138906
100% Corpus,5,asymmetric,0.31,0.29567400330407034
100% Corpus,5,asymmetric,0.61,0.2860870523068475
100% Corpus,5,asymmetric,0.9099999999999999,0.29380885630925485
100% Corpus,5,asymmetric,symmetric,0.30293769912776225
100% Corpus,6,0.01,0.01,0.30491295973385907
100% Corpus,6,0.01,0.31,0.30282036267864537
100% Corpus,6,0.01,0.61,0.31967995986635517
100% Corpus,6,0.01,0.9099999999999999,0.3726866177789429
100% Corpus,6,0.01,symmetric,0.30433241324147847
100% Corpus,6,0.31,0.01,0.30970878679957653
100% Corpus,6,0.31,0.31,0.3096640791914736
100% Corpus,6,0.31,0.61,0.3062537784602753
100% Corpus,6,0.31,0.9099999999999999,0.35171026826605517
100% Corpus,6,0.31,symmetric,0.3034575633839178
100% Corpus,6,0.61,0.01,0.3106680864467478
100% Corpus,6,0.61,0.31,0.29774661452887835
100% Corpus,6,0.61,0.61,0.3200949698641846
100% Corpus,6,0.61,0.9099999999999999,0.34384338771917733
100% Corpus,6,0.61,symmetric,0.29031860709445734
100% Corpus,6,0.9099999999999999,0.01,0.30908665093225735
100% Corpus,6,0.9099999999999999,0.31,0.3057169481340579
100% Corpus,6,0.9099999999999999,0.61,0.31849739444292124
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.39861518874235213
100% Corpus,6,0.9099999999999999,symmetric,0.28711349220016325
100% Corpus,6,symmetric,0.01,0.30189680157719984
100% Corpus,6,symmetric,0.31,0.3133515610001685
100% Corpus,6,symmetric,0.61,0.3136488364698953
100% Corpus,6,symmetric,0.9099999999999999,0.3555615546786877
100% Corpus,6,symmetric,symmetric,0.30304122127843147
100% Corpus,6,asymmetric,0.01,0.2972580977543388
100% Corpus,6,asymmetric,0.31,0.29959266810460017
100% Corpus,6,asymmetric,0.61,0.3078815217631939
100% Corpus,6,asymmetric,0.9099999999999999,0.358588356947795
100% Corpus,6,asymmetric,symmetric,0.30741550807596246
100% Corpus,7,0.01,0.01,0.3143387823797906
100% Corpus,7,0.01,0.31,0.3013727964142376
100% Corpus,7,0.01,0.61,0.31259357057551157
100% Corpus,7,0.01,0.9099999999999999,0.34626731961354895
100% Corpus,7,0.01,symmetric,0.3182682928590132
100% Corpus,7,0.31,0.01,0.31005087663575076
100% Corpus,7,0.31,0.31,0.3124221290352129
100% Corpus,7,0.31,0.61,0.336842844006729
100% Corpus,7,0.31,0.9099999999999999,0.34330784817237436
100% Corpus,7,0.31,symmetric,0.30063472494030424
100% Corpus,7,0.61,0.01,0.304235287221539
100% Corpus,7,0.61,0.31,0.3180328179821826
100% Corpus,7,0.61,0.61,0.33298337735363764
100% Corpus,7,0.61,0.9099999999999999,0.3481043525652187
100% Corpus,7,0.61,symmetric,0.3030968728722952
100% Corpus,7,0.9099999999999999,0.01,0.3132339172867121
100% Corpus,7,0.9099999999999999,0.31,0.33572523519116365
100% Corpus,7,0.9099999999999999,0.61,0.3529320854563412
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3073240681056025
100% Corpus,7,0.9099999999999999,symmetric,0.3138303815375288
100% Corpus,7,symmetric,0.01,0.30340175068853675
100% Corpus,7,symmetric,0.31,0.30804911881898217
100% Corpus,7,symmetric,0.61,0.32309535054724486
100% Corpus,7,symmetric,0.9099999999999999,0.3399347177190961
100% Corpus,7,symmetric,symmetric,0.31965043822072925
100% Corpus,7,asymmetric,0.01,0.30230277011955387
100% Corpus,7,asymmetric,0.31,0.2813916394695629
100% Corpus,7,asymmetric,0.61,0.3262954663307915
100% Corpus,7,asymmetric,0.9099999999999999,0.3418291563574707
100% Corpus,7,asymmetric,symmetric,0.2915762480026328
100% Corpus,8,0.01,0.01,0.3020807156697361
100% Corpus,8,0.01,0.31,0.30852720246956233
100% Corpus,8,0.01,0.61,0.3192776267176305
100% Corpus,8,0.01,0.9099999999999999,0.33847621584220905
100% Corpus,8,0.01,symmetric,0.3094753444459484
100% Corpus,8,0.31,0.01,0.3087069396433101
100% Corpus,8,0.31,0.31,0.3035384772760994
100% Corpus,8,0.31,0.61,0.31360551726370955
100% Corpus,8,0.31,0.9099999999999999,0.3274619056817888
100% Corpus,8,0.31,symmetric,0.29343553751753154
100% Corpus,8,0.61,0.01,0.2993979792508682
100% Corpus,8,0.61,0.31,0.3131263508093499
100% Corpus,8,0.61,0.61,0.3010487107004083
100% Corpus,8,0.61,0.9099999999999999,0.3095752903105182
100% Corpus,8,0.61,symmetric,0.30449825918869367
100% Corpus,8,0.9099999999999999,0.01,0.3031839317318527
100% Corpus,8,0.9099999999999999,0.31,0.31285382864446265
100% Corpus,8,0.9099999999999999,0.61,0.29674289633167067
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.30399348478638744
100% Corpus,8,0.9099999999999999,symmetric,0.31315518441579043
100% Corpus,8,symmetric,0.01,0.2934004480570779
100% Corpus,8,symmetric,0.31,0.3003995588875908
100% Corpus,8,symmetric,0.61,0.3196232560202188
100% Corpus,8,symmetric,0.9099999999999999,0.3118762928437556
100% Corpus,8,symmetric,symmetric,0.28207453868661064
100% Corpus,8,asymmetric,0.01,0.2967526384546449
100% Corpus,8,asymmetric,0.31,0.2892102968110991
100% Corpus,8,asymmetric,0.61,0.3093666356474707
100% Corpus,8,asymmetric,0.9099999999999999,0.31429284850006045
100% Corpus,8,asymmetric,symmetric,0.28801978323504646
100% Corpus,9,0.01,0.01,0.29154113086479394
100% Corpus,9,0.01,0.31,0.325154139977764
100% Corpus,9,0.01,0.61,0.3168269633229668
100% Corpus,9,0.01,0.9099999999999999,0.3392078807813673
100% Corpus,9,0.01,symmetric,0.31555437953826376
100% Corpus,9,0.31,0.01,0.3006831339220402
100% Corpus,9,0.31,0.31,0.3085055058756201
100% Corpus,9,0.31,0.61,0.31297347932181346
100% Corpus,9,0.31,0.9099999999999999,0.3305163443844672
