zone,dropoffCount,LocationID,borough
Kensington,1455,133,Brooklyn
Murray Hill-Queens,1454,171,Queens
Midwood,1439,165,Brooklyn
Bayside,1430,16,Queens
Fordham South,1357,94,Bronx
Riverdale/North Riverdale/Fieldston,1351,200,Bronx
Borough Park,1335,26,Brooklyn
Queensbridge/Ravenswood,1322,193,Queens
Brighton Beach,1317,29,Brooklyn
South Jamaica,1315,215,Queens
Westchester Village/Unionport,1311,250,Bronx
Briarwood/Jamaica Hills,1298,28,Queens
Madison,1295,149,Brooklyn
Dyker Heights,1273,67,Brooklyn
Queens Village,1245,191,Queens
Kew Gardens,1227,134,Queens
Allerton/Pelham Gardens,1217,3,Bronx
Saint George/New Brighton,1129,206,Staten Island
Brooklyn Navy Yard,1125,34,Brooklyn
Prospect Park,1083,190,Brooklyn
Kew Gardens Hills,1050,135,Queens
Gravesend,995,108,Brooklyn
Manhattan Beach,988,150,Brooklyn
Jamaica Estates,983,131,Queens
Roosevelt Island,953,202,Manhattan
Whitestone,951,252,Queens
College Point,938,53,Queens
Ozone Park,920,180,Queens
Springfield Gardens North,896,218,Queens
Stapleton,891,221,Staten Island
Rosedale,859,203,Queens
Springfield Gardens South,808,219,Queens
South Williamsburg,789,217,Brooklyn
Flushing Meadows-Corona Park,778,93,Queens
Howard Beach,763,124,Queens
Bath Beach,757,11,Brooklyn
Heartland Village/Todt Hill,742,118,Staten Island
Starrett City,723,222,Brooklyn
Fresh Meadows,718,98,Queens
Bloomfield/Emerson Hill,717,23,Staten Island
East Flushing,712,73,Queens
Queensboro Hill,704,192,Queens
Auburndale,699,9,Queens
Laurelton,696,139,Queens
Hammels/Arverne,648,117,Queens
Columbia Street,633,54,Brooklyn
Pelham Bay,618,183,Bronx
Hollis,571,122,Queens
Bronx Park,569,31,Bronx
Grymes Hill/Clifton,569,115,Staten Island
Mariners Harbor,551,156,Staten Island
Oakland Gardens,518,175,Queens
Bay Terrace/Fort Totten,493,15,Queens
Van Cortlandt Park,482,240,Bronx
Marble Hill,481,153,Manhattan
Douglaston,462,64,Queens
Bellerose,441,19,Queens
West Brighton,427,245,Staten Island
Battery Park,426,12,Manhattan
Glen Oaks,422,101,Queens
Cambria Heights,414,38,Queens
Far Rockaway,399,86,Queens
Great Kills,398,109,Staten Island
Randalls Island,398,194,Manhattan
